Transaction Type,Date,Time,Ticker Symbol,No. of Shares,Price per Share USD,Image Filename
SELL,06-11-2023,19:10,FTNT,0.92611001,$48.88,IMG_2212.PNG
SELL,06-11-2023,19:09,MCHP,0.70726583,$74.27,IMG_2213.PNG
SELL,06-11-2023,19:08,PANW,0.29276726,$233.99,IMG_2211.PNG
SELL,06-11-2023,19:07,BRK-B,0.18424836,$345.26,IMG_2210.PNG
SELL,06-11-2023,19:06,PGY,9.38602941,$1.35,IMG_2208.PNG
SELL,06-11-2023,19:06,S,1.52273863,$15.41,IMG_2209.PNG
SELL,06-11-2023,19:05,TECH,0.45982947,$58.31,IMG_2207.PNG
SELL,02-11-2023,11:55,RR.L,16,$2.245,IMG_2206.PNG
SELL,01-11-2023,17:13,ENVX,2.75407478,$8.95,IMG_2205.PNG
SELL,01-11-2023,17:12,OKTA,0.36239458,$67.70,IMG_2204.PNG
BUY,25-09-2023,11:29,VUAG.L,15,$66.193333,IMG_2151.PNG
BUY,31-07-2023,18:59,BLK,0.00054195,$738.07,IMG_2150.PNG
BUY,31-07-2023,18:47,GOOG,1.98111497,$132.37,IMG_2149.PNG
BUY,31-07-2023,18:43,TECH,0.45982947,$83.27,IMG_2148.PNG
BUY,31-07-2023,16:52,PGY,9.38602941,$2.71,IMG_2147.PNG
BUY,31-07-2023,16:46,ENVX,2.75407478,$20.85,IMG_2146.PNG
BUY,31-07-2023,16:44,BLK,0.34474284,$740.61,IMG_2145.PNG
BUY,31-07-2023,15:34,BLK,0.00245035,$742.74,IMG_2144.PNG
BUY,06-07-2023,10:03,RR.L,16,$1.476875,IMG_2143.PNG
BUY,05-07-2023,17:15,BLK,0.03919236,$697.84,IMG_2142.PNG
BUY,05-07-2023,17:14,MSFT,0.20030116,$338.69,IMG_2141.PNG
BUY,05-07-2023,17:13,AAPL,0.32914112,$190.83,IMG_2140.PNG
BUY,05-07-2023,17:12,PLTR,4.07657365,$15.40,IMG_2139.PNG
BUY,05-07-2023,17:11,INTC,1.90677194,$32.92,IMG_2138.PNG
BUY,05-07-2023,17:10,ORCL,0.54250875,$115.75,IMG_2137.PNG
BUY,05-07-2023,17:09,MCHP,0.70726583,$88.77,IMG_2135.PNG
BUY,05-07-2023,17:09,BRK-B,0.18424836,$340.79,IMG_2136.PNG
BUY,05-07-2023,17:08,NVDA,0.14730864,$426.18,IMG_2133.PNG
BUY,05-07-2023,17:08,DELL,1.15763274,$54.23,IMG_2134.PNG
BUY,25-05-2023,18:38,IBM,0.02253431,$126.03,IMG_2132.PNG
BUY,25-05-2023,15:08,CRWD,0.40930238,$149.05,IMG_2131.PNG
BUY,25-05-2023,15:07,FTNT,0.92611001,$65.88,IMG_2130.PNG
BUY,25-05-2023,15:06,OKTA,0.36239458,$84.19,IMG_2128.PNG
BUY,25-05-2023,15:06,AMZN,3.51774584,$115.51,IMG_2129.PNG
BUY,25-05-2023,15:06,PLTR,24.06309148,$12.67,IMG_2127.PNG
BUY,25-05-2023,15:05,META,1.17232543,$249.75,IMG_2126.PNG
BUY,25-05-2023,15:05,MSFT,1.89921853,$321.18,IMG_2124.PNG
BUY,25-05-2023,15:05,PLTR,0.01724137,$12.76,IMG_2125.PNG
BUY,25-05-2023,15:01,ZS,0.24110109,$126.42,IMG_2121.PNG
BUY,25-05-2023,15:01,PANW,0.29276726,$208.22,IMG_2122.PNG
BUY,25-05-2023,15:01,IBM,0.18295382,$126.48,IMG_2123.PNG
BUY,25-05-2023,15:00,S,1.52273863,$20.00,IMG_2120.PNG
SELL,14-04-2023,15:00,TWTR,4.86035072,$54.20,IMG_0000.PNG
BUY,04-11-2022,19:02,AAPL,0.08657218,$136.88,IMG_2119.PNG
SELL,04-11-2022,19:02,DIS,1.80172823,$99.09,IMG_2203.PNG
SELL,28-10-2022,15:03,TSLA,0.6310908,$219.19,IMG_2202.PNG
BUY,25-08-2022,00:00,TSLA,0.42072719999999997,$0,IMG_0000.PNG
BUY,21-04-2022,14:43,TSLA,0.08973532,1085.86,IMG_2118.PNG
BUY,21-04-2022,14:38,TSLA,0.12062828,1075.95,IMG_2117.PNG
BUY,21-04-2022,14:35,TWTR,4.86035072,$46.76,IMG_2115.PNG
BUY,21-04-2022,14:35,DIS,1.80172823,$126.14,IMG_2116.PNG
SELL,21-04-2022,14:30,AAPL,5.45,$168.52,IMG_2201.PNG
BUY,22-02-2022,15:35,AAPL,0.02095249,$166.09,IMG_2114.PNG
BUY,15-09-2021,15:45,AAPL,0.1574219,$146.93,IMG_2113.PNG
SELL,13-09-2021,17:19,AAPL,0.038,$149.74,IMG_2200 2.PNG
SELL,13-09-2021,17:18,GOOG,0.03422148,$2848.50,IMG_2199.PNG
SELL,13-09-2021,17:17,TSLA,0.16075808,$724.75,IMG_2198.PNG
BUY,13-09-2021,17:15,AAPL,1.46437871,$149.77,IMG_2112.PNG
SELL,13-09-2021,17:14,ENPH,0.5037514,$160.08,IMG_2196.PNG
SELL,13-09-2021,17:14,RIOT,1.63469594,$29.82,IMG_2197.PNG
BUY,13-09-2021,17:13,AAPL,1.1487515,$149.78,IMG_2111.PNG
SELL,13-09-2021,17:13,BNGO,16.98094785,$5.42,IMG_2195.PNG
SELL,13-09-2021,17:12,EXPI,3.7728691,$46.03,IMG_2194.PNG
BUY,19-08-2021,16:03,GOOG,0.03422148,2716.13,IMG_2110.PNG
SELL,19-08-2021,15:53,PTON,0.87108773,$107.56,IMG_2193.PNG
BUY,19-08-2021,15:52,AAPL,1.38717421,$145.80,IMG_2109.PNG
SELL,19-08-2021,15:51,EH,4.84105534,$22.25,IMG_2192.PNG
SELL,19-08-2021,15:50,CCIV,1.08643184,$22.20,IMG_2190.PNG
SELL,19-08-2021,15:50,MVIS,4.33362255,$13.05,IMG_2191.PNG
BUY,19-02-2021,16:12,CCIV,0.11601933,$59.99,IMG_2108.PNG
SELL,19-02-2021,16:10,TTCFQ,0.66,$23.76,IMG_2189.PNG
BUY,17-02-2021,15:08,EH,3.01657534,$73.00,IMG_2107.PNG
SELL,17-02-2021,15:08,BB,20.18603274,$11.29,IMG_2188.PNG
BUY,17-02-2021,15:03,RIOT,1.63469594,$69.23,IMG_2106.PNG
SELL,17-02-2021,15:02,BB,10,$11.42,IMG_2187.PNG
BUY,17-02-2021,14:51,EH,1.82448,$62.50,IMG_2105.PNG
SELL,17-02-2021,14:48,BB,10,$11.51,IMG_2186.PNG
BUY,16-02-2021,15:38,MVIS,4.33362255,$23.05,IMG_2104.PNG
SELL,16-02-2021,15:38,ENPH,0.5,$201.22,IMG_2185.PNG
BUY,16-02-2021,00:00,EXPI,1.88643455,$0,IMG_0000.PNG
BUY,12-02-2021,18:42,BNGO,4.82142857,$14.28,IMG_2103.PNG
BUY,12-02-2021,18:34,BNGO,9.66245614,$14.25,IMG_2102.PNG
BUY,12-02-2021,17:42,BNGO,2.49706314,$13.62,IMG_2101.PNG
SELL,12-02-2021,17:31,ASAN,0.8499623,$40.06,IMG_2184.PNG
BUY,10-02-2021,15:36,AAPL,0.27392812,$135.51,IMG_2100.PNG
SELL,10-02-2021,15:35,ATVI,0.36306142,$102.05,IMG_2183.PNG
BUY,09-02-2021,18:04,EXPI,1.88643455,$163.43,IMG_2099.PNG
BUY,09-02-2021,16:07,AAPL,0.30844678,$136.62,IMG_2088.PNG
SELL,09-02-2021,15:57,CLNE,0.86107921,$18.12,IMG_0000.PNG
